epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2540.12,1.004,0.98213,1.45448,0.93563,0.90841,0.95968,0.80208,0.65949,0.51777,1.13098,0.000578259,0.000578259,0.000578259
92,2567.84,1.02938,0.96749,1.48834,0.89636,0.96531,0.97036,0.79277,0.68649,0.52712,1.13311,0.000570494,0.000570494,0.000570494
93,2595.37,1.00841,0.92188,1.468,0.8983,0.92411,0.96484,0.79732,0.64262,0.70733,1.11109,0.00056271,0.00056271,0.00056271
94,2622.97,1.02994,0.95726,1.48931,0.94868,0.88839,0.95981,0.80633,0.65984,0.53508,1.11591,0.000554912,0.000554912,0.000554912
95,2650.71,0.99493,0.91577,1.46082,0.91959,0.94196,0.9769,0.77354,0.78986,0.48773,1.19761,0.000547099,0.000547099,0.000547099
96,2678.37,1.0318,0.9515,1.50387,0.94147,0.9335,0.9813,0.79319,0.69994,0.52673,1.12667,0.000539276,0.000539276,0.000539276
97,2706.04,0.99472,0.95358,1.45594,0.9509,0.94196,0.97653,0.81609,0.66666,0.43932,1.10689,0.000531442,0.000531442,0.000531442
98,2733.88,0.99635,0.92145,1.46198,0.94371,0.9375,0.98122,0.80967,0.66585,0.44842,1.1233,0.000523601,0.000523601,0.000523601
99,2761.39,0.96541,0.88317,1.43944,0.91,0.95536,0.97244,0.80005,0.68895,0.46862,1.13306,0.000515754,0.000515754,0.000515754
100,2788.99,0.98605,0.88922,1.44587,0.92241,0.92411,0.97695,0.81159,0.63801,0.46736,1.09521,0.000507903,0.000507903,0.000507903
101,2816.59,0.98078,0.87318,1.44973,0.94676,0.95272,0.98499,0.81568,0.66892,0.43751,1.11428,0.00050005,0.00050005,0.00050005
102,2844.19,0.98596,0.91244,1.44481,0.91151,0.96429,0.97987,0.8278,0.64054,0.47404,1.10279,0.000492197,0.000492197,0.000492197
103,2872.03,0.99591,0.91876,1.45905,0.97428,0.92411,0.98378,0.80986,0.67752,0.47,1.10133,0.000484346,0.000484346,0.000484346
104,2899.61,0.98874,0.88356,1.4463,0.9538,0.91518,0.98382,0.81427,0.66077,0.46472,1.10687,0.000476499,0.000476499,0.000476499
105,2927.18,0.98341,0.87561,1.44591,0.94629,0.94391,0.98245,0.80614,0.68216,0.4711,1.12552,0.000468658,0.000468658,0.000468658
106,2954.95,0.97868,0.89336,1.44223,0.91067,0.91964,0.96889,0.79444,0.67823,0.53286,1.14352,0.000460824,0.000460824,0.000460824
107,2982.56,0.99398,0.89917,1.465,0.91665,0.93283,0.96215,0.82013,0.60988,0.59669,1.10981,0.000453001,0.000453001,0.000453001
108,3010.14,0.99995,0.88165,1.47173,0.97202,0.94643,0.9844,0.8258,0.64508,0.42119,1.11054,0.000445188,0.000445188,0.000445188
109,3037.95,0.96337,0.84463,1.4313,0.92943,0.96429,0.98719,0.84913,0.57566,0.4075,1.05873,0.00043739,0.00043739,0.00043739
110,3065.58,0.98246,0.83095,1.44935,0.95849,0.92768,0.97699,0.7735,0.79063,0.43774,1.20916,0.000429606,0.000429606,0.000429606
111,3093.3,0.97177,0.86784,1.45573,0.94723,0.9617,0.98544,0.84496,0.5691,0.43673,1.05079,0.000421841,0.000421841,0.000421841
112,3120.96,0.96593,0.83062,1.42853,0.97193,0.92747,0.98104,0.82765,0.62178,0.43917,1.0832,0.000414094,0.000414094,0.000414094
113,3148.6,0.94278,0.81685,1.43448,0.95204,0.95982,0.98343,0.84184,0.58762,0.43673,1.05843,0.000406369,0.000406369,0.000406369
114,3176.37,0.97709,0.86037,1.44324,0.96342,0.94067,0.98277,0.83801,0.61638,0.41791,1.0801,0.000398666,0.000398666,0.000398666
115,3203.99,0.95378,0.84944,1.41967,0.93351,0.95982,0.98064,0.84147,0.62008,0.41404,1.08344,0.000390989,0.000390989,0.000390989
116,3231.59,0.94041,0.85032,1.4181,0.9522,0.95089,0.97803,0.84421,0.57128,0.4032,1.05129,0.000383339,0.000383339,0.000383339
117,3259.21,0.9477,0.83788,1.4252,0.94362,0.95536,0.98276,0.83708,0.59575,0.41121,1.0608,0.000375717,0.000375717,0.000375717
118,3286.8,0.98252,0.84823,1.44935,0.93462,0.95089,0.98115,0.84233,0.57418,0.41283,1.04635,0.000368127,0.000368127,0.000368127
119,3314.51,0.96507,0.85474,1.43821,0.95416,0.95536,0.98329,0.82415,0.62266,0.40809,1.06804,0.000360568,0.000360568,0.000360568
120,3342.02,0.91592,0.7844,1.39794,0.96527,0.95982,0.98927,0.84972,0.58777,0.38629,1.06898,0.000353045,0.000353045,0.000353045
121,3369.76,0.96289,0.84288,1.43711,0.95937,0.94196,0.98522,0.8387,0.60905,0.41375,1.0633,0.000345557,0.000345557,0.000345557
122,3397.58,0.93401,0.80998,1.41073,0.95443,0.94643,0.98267,0.84037,0.60809,0.40322,1.05674,0.000338107,0.000338107,0.000338107
123,3425.2,0.93692,0.81536,1.42285,0.97387,0.9375,0.98437,0.85009,0.58645,0.39691,1.05097,0.000330698,0.000330698,0.000330698
124,3453.01,0.9239,0.8191,1.40969,0.94292,0.97768,0.98932,0.83682,0.59562,0.40359,1.07285,0.00032333,0.00032333,0.00032333
125,3480.56,0.9394,0.82404,1.41698,0.96767,0.95982,0.9887,0.83544,0.62725,0.40144,1.09114,0.000316006,0.000316006,0.000316006
126,3508.07,0.91552,0.77254,1.40568,0.95789,0.96429,0.98797,0.82594,0.62716,0.398,1.09006,0.000308727,0.000308727,0.000308727
127,3535.78,0.92041,0.78646,1.40533,0.95407,0.95089,0.98522,0.84482,0.55896,0.41159,1.05322,0.000301496,0.000301496,0.000301496
128,3563.34,0.93467,0.78765,1.40794,0.94651,0.948,0.98478,0.84252,0.58369,0.40476,1.07961,0.000294313,0.000294313,0.000294313
129,3590.88,0.92422,0.77506,1.42153,0.96145,0.9375,0.98328,0.84616,0.55724,0.4009,1.06252,0.000287182,0.000287182,0.000287182
130,3618.62,0.91154,0.77568,1.39908,0.97232,0.94074,0.98839,0.82489,0.61311,0.38229,1.08051,0.000280102,0.000280102,0.000280102
131,3646.23,0.92155,0.77945,1.40196,0.96355,0.94414,0.98513,0.84939,0.55834,0.39778,1.04379,0.000273077,0.000273077,0.000273077
132,3673.88,0.89854,0.74359,1.37817,0.95957,0.94643,0.98406,0.83524,0.59461,0.40418,1.06967,0.000266108,0.000266108,0.000266108
133,3701.47,0.92673,0.79811,1.41793,0.96438,0.96685,0.98863,0.86419,0.54026,0.39804,1.04713,0.000259197,0.000259197,0.000259197
134,3729.3,0.90009,0.79487,1.39786,0.96696,0.95536,0.99082,0.83695,0.62356,0.39211,1.09,0.000252345,0.000252345,0.000252345
135,3757.1,0.89479,0.77472,1.38891,0.96658,0.95089,0.98577,0.86293,0.531,0.36253,1.02948,0.000245555,0.000245555,0.000245555
136,3784.67,0.89185,0.74918,1.38623,0.95129,0.96429,0.985,0.8415,0.60075,0.37692,1.06788,0.000238827,0.000238827,0.000238827
137,3812.27,0.8974,0.75957,1.3815,0.96289,0.95089,0.99002,0.86639,0.54218,0.38316,1.03806,0.000232163,0.000232163,0.000232163
138,3839.99,0.91389,0.77779,1.39018,0.95598,0.96958,0.99151,0.85912,0.55353,0.37417,1.0395,0.000225566,0.000225566,0.000225566
139,3867.67,0.89488,0.75696,1.37583,0.97224,0.95982,0.99049,0.86048,0.55843,0.37204,1.04384,0.000219036,0.000219036,0.000219036
140,3895.26,0.89809,0.76238,1.38799,0.9549,0.96429,0.99023,0.87243,0.51584,0.42575,1.01345,0.000212576,0.000212576,0.000212576
141,3922.94,0.85884,0.73816,1.35764,0.96426,0.96363,0.9899,0.8704,0.52788,0.3799,1.01108,0.000206187,0.000206187,0.000206187
142,3950.65,0.89774,0.74275,1.39489,0.95951,0.95221,0.98748,0.86315,0.52366,0.37526,1.01371,0.00019987,0.00019987,0.00019987
143,3978.37,0.85698,0.71396,1.35199,0.96041,0.97459,0.98818,0.86159,0.55039,0.36262,1.02962,0.000193627,0.000193627,0.000193627
144,4005.96,0.87581,0.72603,1.36912,0.9653,0.96875,0.99121,0.87406,0.51234,0.35733,1.00364,0.00018746,0.00018746,0.00018746
145,4033.64,0.87009,0.73201,1.37003,0.95093,0.95174,0.98921,0.86867,0.4965,0.41884,0.98961,0.00018137,0.00018137,0.00018137
146,4061.35,0.86046,0.71658,1.35711,0.96005,0.96545,0.98946,0.86827,0.53377,0.35942,1.01919,0.000175358,0.000175358,0.000175358
147,4088.9,0.87873,0.72065,1.37873,0.97487,0.93304,0.98372,0.86629,0.53749,0.35542,1.01817,0.000169427,0.000169427,0.000169427
148,4116.48,0.88117,0.75208,1.3754,0.97259,0.95046,0.98427,0.85152,0.55623,0.37991,1.03268,0.000163577,0.000163577,0.000163577
149,4144.15,0.88988,0.7413,1.37048,0.97267,0.95325,0.9872,0.87597,0.51728,0.37734,1.01637,0.000157811,0.000157811,0.000157811
150,4171.8,0.88258,0.73555,1.37657,0.9769,0.94392,0.98499,0.86453,0.53061,0.37913,1.01768,0.000152128,0.000152128,0.000152128
151,4199.55,0.85497,0.7163,1.34676,0.93093,0.96273,0.98268,0.85963,0.52596,0.37343,1.01611,0.000146532,0.000146532,0.000146532
